Price_per_m²,Online_since_in_h,WG_Size,Total_People,Size,Warm_Rent_in_€,Cold_Rent_in_€,Deposit_in_€,Roomsize in m²,Appartmentsize in m²,Intermediate Rent,left_rhine_side,Weighted_Average_Sentiment,Min_Age,Max_Age,Construction_Year,Parking,Floor,Smoking,Garden_Balcony,Dist_center_in_km,Title_Length,Description_Length,Fact_Count,Population_per_km²
60.833333333333336,9,4,3,12m²,730.0,730,1000,12,98,False,1.0,0.8949827530364372,,,,,,,,1.7,31,1288.0,21,8776.18
31.428571428571427,9,4,3,14m²,440.0,400,300,14,80,True,1.0,0.9299,25.0,75.0,,,1,,Balkon,4.0,24,1105.0,23,5048.95
29.529411764705884,9,3,2,17m²,502.0,502,500,17,80,False,1.0,0.8678840834697219,22.0,32.0,,,3,,Balkon,3.4,19,2533.0,33,6108.19
40.0,9,2,1,15m²,600.0,600,500,15,72,False,1.0,0.9894212283384302,25.0,35.0,,,1,Rauchen teilweise erlaubt,,1.3,45,4262.0,41,9168.01
37.15,9,3,2,20m²,743.0,650,,20,156,False,1.0,0.8572938911704313,25.0,45.0,,,4,,Terrasse,2.0,50,1898.0,31,12311.83
23.0,9,3,2,20m²,460.0,460,,20,,True,1.0,0.671394438138479,25.0,35.0,,,1,Rauchen teilweise erlaubt,,2.7,38,1762.0,33,11677.08
29.9375,9,3,2,16m²,479.0,450,500,16,80,False,0.0,0.4352823056300269,,,,gute Parkmöglichkeiten,1,Rauchen nicht erwünscht,,8.9,33,384.0,38,4775.23
15.384615384615385,10,7,6,26m²,400.0,400,100,26,196,True,1.0,0.8507073226544623,1.0,99.0,,,1,Rauchen teilweise erlaubt,Balkon,5.5,30,858.0,34,4822.1
26.0,10,2,1,25m²,650.0,550,1000,25,68,True,1.0,0.7288257731958763,22.0,28.0,,gute Parkmöglichkeiten,3,Rauchen teilweise erlaubt,Gartenmitbenutzung,4.7,89,2020.0,44,6176.72
19.23076923076923,10,3,2,13m²,250.0,250,,13,,True,1.0,0.6735268292682927,23.0,27.0,,,0,,,2.8,34,409.0,25,12311.83
31.25,10,2,1,16m²,500.0,450,,16,,True,1.0,0.9485,27.0,27.0,,,,,,1.6,44,433.0,21,9168.01
29.545454545454547,10,3,2,22m²,650.0,505,1200,22,101,False,1.0,0.693660434322034,18.0,28.0,,gute Parkmöglichkeiten,1,Rauchen nicht erwünscht,Terrasse,4.2,39,1888.0,46,2089.18
19.444444444444443,10,2,1,18m²,350.0,300,100,18,50,True,1.0,0.7279000000000001,99.0,99.0,,Bewohnerparken,1,Rauchen teilweise erlaubt,,1.2,49,532.0,28,3761.1
31.25,11,4,2,20m²,625.0,575,,20,160,False,0.0,0.9751446030330062,22.0,27.0,,gute Parkmöglichkeiten,1,Rauchen teilweise erlaubt,Terrasse,9.3,61,4724.0,34,1546.74
27.77777777777778,11,3,2,18m²,500.0,500,,18,,True,1.0,0.687056364874064,,,,,,Rauchen teilweise erlaubt,Gartenmitbenutzung,1.3,27,1466.0,24,10710.38
30.0,11,3,2,12m²,360.0,310,310,12,74,True,0.0,0.8652293388429751,20.0,35.0,,gute Parkmöglichkeiten,2,Rauchen nicht erwünscht,Gartenmitbenutzung,3.9,33,3515.0,43,7191.28
33.333333333333336,11,5,4,12m²,400.0,400,600,12,,False,1.0,0.6603060822898033,18.0,25.0,,gute Parkmöglichkeiten,1,Rauchen nicht erwünscht,Terrasse,9.5,50,1277.0,41,2215.97
37.5,11,2,1,20m²,750.0,750,1000,20,,True,1.0,0.9109134627625716,27.0,40.0,,,0,Rauchen nicht erwünscht,Terrasse,3.4,74,4281.0,34,6467.99
30.0,11,3,2,11m²,330.0,300,0,11,92,False,1.0,0.71995843575419,28.0,59.0,,Bewohnerparken,1,Rauchen nicht erwünscht,,4.3,69,941.0,34,6108.19
37.333333333333336,11,3,2,15m²,560.0,470,470,15,70,False,1.0,0.8132928571428572,23.0,39.0,,gute Parkmöglichkeiten,4,Rauchen nicht erwünscht,Balkon,2.9,55,4046.0,41,2089.18
15.277777777777779,12,13,7,18m²,275.0,250,600,18,400,False,1.0,0.8470442433019552,18.0,26.0,1870.0,gute Parkmöglichkeiten,0,Rauchen teilweise erlaubt,Terrasse,3.9,42,2958.0,46,6467.99
16.818181818181817,12,13,9,22m²,370.0,350,500,22,400,False,1.0,0.847000542888165,18.0,26.0,,Bewohnerparken,2,Rauchen teilweise erlaubt,Terrasse,3.9,42,2961.0,47,6467.99
47.05882352941177,12,3,2,17m²,800.0,700,1200,17,75,True,1.0,0.7350999999999999,18.0,30.0,,gute Parkmöglichkeiten,2,Rauchen teilweise erlaubt,Balkon,1.5,24,352.0,31,9168.01
33.333333333333336,13,2,1,15m²,500.0,500,,15,67,True,1.0,0.42476564748201434,24.0,40.0,,gute Parkmöglichkeiten,2,Rauchen teilweise erlaubt,Balkon,3.2,26,1173.0,39,2089.18
22.5,16,3,2,20m²,450.0,450,450,20,88,False,1.0,0.6249,20.0,50.0,1970.0,eigener Parkplatz,1,Rauchen teilweise erlaubt,Gartenmitbenutzung,15.6,26,703.0,38,714.3
38.46153846153846,17,3,2,13m²,500.0,450,1250,13,85,True,0.0,0.4893870918754745,18.0,30.0,,schlechte Parkmöglichkeiten,,Rauchen teilweise erlaubt,,3.2,57,1451.0,37,3446.98
27.333333333333332,17,3,2,15m²,410.0,350,833,15,80,False,0.0,0.9450508333333334,25.0,35.0,,gute Parkmöglichkeiten,3,Rauchen überall erlaubt,,2.6,32,3256.0,38,5130.1
28.0625,19,2,1,16m²,449.0,400,850,16,50,False,1.0,0.6266669466106779,25.0,38.0,,gute Parkmöglichkeiten,4,Rauchen nicht erwünscht,,6.5,47,1749.0,39,1722.52
18.75,19,5,4,16m²,300.0,300,900,16,,False,1.0,0.7672580736543909,18.0,22.0,,gute Parkmöglichkeiten,1,Rauchen teilweise erlaubt,Terrasse,6.3,45,1839.0,42,2454.12
27.166666666666668,19,4,3,12m²,326.0,270,713,12,100,False,1.0,0.8030776401362651,22.0,25.0,,,3,,Garten,4.0,29,3183.0,33,5048.95
28.25,20,5,4,20m²,565.0,500,565,20,140,False,1.0,0.941125161588181,23.0,45.0,1970.0,gute Parkmöglichkeiten,3,Rauchen nicht erwünscht,Gartenmitbenutzung,10.0,178,2220.0,45,2215.97
12.5,20,2,0,40m²,500.0,500,300,40,,True,1.0,0.711465545087483,,,,,1,,Balkon,2.7,29,2352.0,27,12311.83
36.46666666666667,20,2,1,15m²,547.0,423,1236,15,46,False,1.0,0.8840319876970396,20.0,26.0,,,4,Rauchen teilweise erlaubt,,2.4,25,2753.0,32,12311.83
50.0,20,2,1,15m²,750.0,600,500,15,70,True,1.0,0.7049904,23.0,30.0,,,3,Rauchen nicht erwünscht,,2.7,54,1939.0,39,12311.83
19.23076923076923,20,2,1,26m²,500.0,323,563,26,,False,1.0,0.6312603539823008,23.0,23.0,,gute Parkmöglichkeiten,1,Rauchen nicht erwünscht,,5.6,63,4725.0,49,2454.12
29.166666666666668,20,4,3,12m²,350.0,350,,12,65,False,1.0,0.8012023041474654,20.0,40.0,,Bewohnerparken,4,Rauchen nicht erwünscht,,3.6,36,2035.0,38,6108.19
21.4,20,4,3,25m²,535.0,500,200,25,120,True,0.0,0.9129202394526796,22.0,32.0,,,3,Rauchen teilweise erlaubt,,5.1,43,1815.0,34,8035.49
31.764705882352942,20,2,1,17m²,540.0,480,960,17,60,False,0.0,0.9621,20.0,40.0,,,2,Rauchen teilweise erlaubt,Balkon,4.9,52,1362.0,28,7191.28
40.0,21,3,2,15m²,600.0,450,900,15,,True,0.0,0.9317261121856866,25.0,45.0,,Bewohnerparken,1,,Terrasse,8.7,53,3253.0,42,4775.23
28.75,21,2,1,16m²,460.0,460,900,16,,True,1.0,0.7249648774022531,19.0,25.0,,,3,,Balkon,3.8,47,1617.0,24,6467.99
25.0,21,6,4,15m²,375.0,215,625,15,170,False,,0.9798805894499719,30.0,45.0,,gute Parkmöglichkeiten,2,Rauchen teilweise erlaubt,Terrasse,5.2,120,5605.0,46,
33.92307692307692,21,3,2,13m²,441.0,335,500,13,70,True,1.0,0.8587600690448792,20.0,28.0,,,3,,,3.6,24,1871.0,40,7241.29
36.8,21,4,3,10m²,368.0,280,765,10,91,True,1.0,0.7009318374558304,21.0,35.0,,,5,Rauchen nicht erwünscht,,5.3,46,2906.0,38,6108.19
28.214285714285715,21,3,2,28m²,790.0,690,,28,88,False,1.0,0.9191990786240787,20.0,35.0,,schlechte Parkmöglichkeiten,5,Rauchen nicht erwünscht,Balkon,2.7,44,1794.0,44,11677.08
42.0,21,2,1,15m²,630.0,630,1050,15,70,False,1.0,0.8256384751773049,24.0,32.0,,,,,Terrasse,2.0,57,2409.0,29,10710.38
23.333333333333332,21,5,4,15m²,350.0,350,990,15,95,False,0.0,0.5095676883780331,,,,gute Parkmöglichkeiten,1,Rauchen teilweise erlaubt,,2.5,40,836.0,27,2806.27
45.833333333333336,21,5,2,12m²,550.0,400,1000,12,105,False,1.0,0.9934,18.0,27.0,,,1,,Balkon,9.9,29,1333.0,21,2215.97
17.647058823529413,21,9,5,17m²,300.0,180,300,17,,False,1.0,0.9035233644859814,18.0,26.0,,gute Parkmöglichkeiten,2,Rauchen teilweise erlaubt,Terrasse,5.3,89,2917.0,41,3763.93
39.285714285714285,21,2,1,14m²,550.0,400,1350,14,80,False,1.0,0.8799,28.0,50.0,,schlechte Parkmöglichkeiten,1,Rauchen teilweise erlaubt,,3.5,17,1007.0,30,6176.72
44.61538461538461,21,3,2,13m²,580.0,500,1000,13,55,False,0.0,0.8723222222222222,20.0,30.0,,,0,Rauchen nicht erwünscht,,5.2,54,2412.0,43,8035.49
25.0,21,4,3,18m²,450.0,250,500,18,,False,,0.7386021893308665,22.0,31.0,,,1,Rauchen teilweise erlaubt,Terrasse,19.0,43,3436.0,40,
38.333333333333336,21,3,2,18m²,690.0,690,,18,,False,1.0,0.6405191035218784,24.0,29.0,,Bewohnerparken,5,Rauchen nicht erwünscht,,1.5,45,916.0,29,9168.01
25.833333333333332,22,3,2,12m²,310.0,260,150,12,90,False,0.0,0.5994,18.0,60.0,,gute Parkmöglichkeiten,5,Rauchen nicht erwünscht,,7.3,47,625.0,39,1411.11
25.88,1,6,4,25m²,647.0,600,600,25,,False,1.0,0.4507952775476387,18.0,25.0,,Bewohnerparken,2,,,9.0,50,1315.0,30,2215.97
24.88888888888889,22,3,2,18m²,448.0,342,550,18,110,False,0.0,0.8513976811594204,25.0,37.0,,,4,Rauchen teilweise erlaubt,Terrasse,4.2,27,3013.0,44,7191.28
20.0,22,3,0,25m²,500.0,500,1000,25,,True,1.0,0.9826000000000001,18.0,30.0,,,1,,,6.3,34,1372.0,23,1722.52
